text,y_true,y_pred,correct,ml_confidence,adaptive_alpha,routing_mode,routing_reason,ml_label,rule_label,bucket
Bench notes (science): the sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True,42.61618106260227,0.05,adaptive,Symbolic reasoning received higher weight because low ML confidence (43%); symbolic cues detected (1).,Shabda,Pratyaksha,rules_dominated
Bench notes (technology): the sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True,48.21642915870639,0.05,adaptive,Symbolic reasoning received higher weight because low ML confidence (48%); symbolic cues detected (1).,Shabda,Pratyaksha,rules_dominated
Bench notes (education): the sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True,43.74146712189324,0.05,adaptive,Symbolic reasoning received higher weight because low ML confidence (44%); symbolic cues detected (1).,Shabda,Pratyaksha,rules_dominated
Bench notes (medicine): the sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True,35.15304270208269,0.05,adaptive,Symbolic reasoning received higher weight because low ML confidence (35%); symbolic cues detected (1).,Shabda,Pratyaksha,rules_dominated
Bench notes (politics): the sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True,46.24369795264625,0.05,adaptive,Symbolic reasoning received higher weight because low ML confidence (46%); symbolic cues detected (1).,Shabda,Pratyaksha,rules_dominated
Bench notes (philosophy): the sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True,39.404672568031806,0.05,adaptive,Symbolic reasoning received higher weight because low ML confidence (39%); symbolic cues detected (1).,Anumana,Pratyaksha,rules_dominated
Bench notes (legal reasoning): the sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True,48.98734081590968,0.05,adaptive,Symbolic reasoning received higher weight because low ML confidence (49%); symbolic cues detected (1).,Shabda,Pratyaksha,rules_dominated
Bench notes (public debate): the sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True,42.35375346217161,0.05,adaptive,Symbolic reasoning received higher weight because low ML confidence (42%); symbolic cues detected (1).,Shabda,Pratyaksha,rules_dominated
Bench notes (social media discourse): the sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True,61.61189503679962,0.15,adaptive,Balanced routing: symbolic cues detected (1).,Shabda,Pratyaksha,rules_dominated
Bench notes (news analysis): the sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True,53.74484266217575,0.15,adaptive,Balanced routing: symbolic cues detected (1).,Shabda,Pratyaksha,rules_dominated
Bench notes (daily life): the sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True,43.5435003538781,0.05,adaptive,Symbolic reasoning received higher weight because low ML confidence (44%); symbolic cues detected (1).,Shabda,Pratyaksha,rules_dominated
"Telemetry (science) captured a single large spike, then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True,89.06976772060634,0.4,adaptive,ML received higher weight because high ML confidence (89%); symbolic cues detected (1).,Pratyaksha,Pratyaksha,balanced
"Telemetry (technology) captured a single large spike, then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True,87.65261514991263,0.4,adaptive,ML received higher weight because high ML confidence (88%); symbolic cues detected (1).,Pratyaksha,Pratyaksha,balanced
"Telemetry (education) captured a single large spike, then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True,81.32623893882817,0.15,adaptive,Balanced routing: symbolic cues detected (1).,Pratyaksha,Pratyaksha,rules_dominated
"Telemetry (medicine) captured a single large spike, then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True,90.27671602628209,0.4,adaptive,ML received higher weight because high ML confidence (90%); symbolic cues detected (1).,Pratyaksha,Pratyaksha,balanced
