essay_id,component_type,text,candidate_pramana,candidate_reason,final_pramana,strength_label,reviewed
essay144,Premise,"this may lead to 'social division', when someone with high education refuses to do the called 'low jobs'",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay367,Premise,"women tend to work in various fields which in the past normally done by men such as being engineers, and dealing with machines",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay241,MajorClaim,living in the city is much better nowadays,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay150,MajorClaim,reading fictions is more pleasant,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay154,MajorClaim,I prefer to live with a roommate,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay036,Claim,"considering the rise in accident rates, violent crime rates and suicide rates",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay109,Premise,"Taking the SARS in 2003 as an example, the Chinese government limited the amount of information for public access which therefore causes numerous deaths",Anumana,"Matched Anumana cues: therefore, causes",,,
essay080,Claim,both of the arguments have strong supports,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay312,Premise,The proposal of the demonstration was eliminating the raising salaries,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay123,MajorClaim,teenagers need more attention and help in comparison with the higher ages,Upamana,Matched Upamana cues: comparison,,,
essay075,Claim,"Art is not the key determination of quality of life, but education is",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay391,Premise,there many game applications available online and many of them are quite aggressive in nature,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay219,Claim,This transformation may bring positive impacts to family in some cases,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay287,Premise,"If I could not communicate with other people, I could not even buy food to sacrifice my hunger",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay154,MajorClaim,"I prefer to live with a roommate, and I always will",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay337,Premise,"many games involve children helping their character to kill or shoot, which many lead to increased aggressive feelings, thoughts and behaviours",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay176,Premise,visiting a museum saves their precious time for making a decision,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay128,Claim,students should have a right to choose what they want to study,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay323,MajorClaim,parents are our best teachers,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay036,MajorClaim,the guns should be strictly limited and the government should enforce a series of laws to prevent our societies from violence,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay387,Premise,"Unemployed workers or school dropouts can easily commit crime from petty offence to felony such as burglary, pickpocketing, trickery, vandalism, smuggling or even murder",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay262,Premise,They are eager for finding who they are and what they really want,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay256,Premise,this is a rather immodest way of thinking,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay037,Premise,People can understand more about a country,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay106,Premise,"This step has curbed down the numbers of smokers in the country and as a result, Brunei remains a place known for its tranquility and cleanliness",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay016,MajorClaim,the merits of animal experiments still outweigh the demerits,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay347,Premise,"products usually look more gorgeous and with good quality in advertisement, people are more likely to buy goods impulsively without a second thought",Anumana,Matched Anumana cues: likely,,,
essay243,Premise,"They may stop me, speak something against it and that makes me forget what I want to say",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay087,Premise,"In your job you can be boss of yourself; however, in the other jobs someone else are your boss",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay329,Premise,"some people abandon their job, family and friends and go to other country without knowing what the future holds for them",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay190,Premise,Many students as well as people find zoos as good places for witnessing and researching the true animal world,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay139,Claim,species extinction is quite natural according to the theory of evolution,Shabda,Matched Shabda cues: according to,,,
essay397,Premise,"With the help of advanced methods, many art masterpiece has been well restorated and well preserved",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay121,Premise,"a few months ago it was broadcast from TV that a company which produced baby milk, sold milk which did not have quality and it caused a few babies die",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay076,MajorClaim,"the government should fund the deprived for their health care and education, who are the group in real need for the authority's help",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay202,MajorClaim,"a good co-worker needs to have three most important characteristics such as cooperation, trustworthiness, and fellowship",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay101,MajorClaim,strongly agree that age should be set as a criterion for people to retire at the aforementioned age,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay308,MajorClaim,staying in one place is better than moving number of places,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay290,Premise,As well as learning new skills in my field from these workshops,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay260,MajorClaim,"once you are unique enough, you are already on the way to success",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay333,Premise,"by communicating via Internet or phone, we cannot express our ideas and feelings fully",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay036,MajorClaim,it is sensible to enforce the gun control,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay382,Premise,students will develop their skills at a greater pace,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay337,Claim,spending too much time on phones may exert adverse effects on social life,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay025,Premise,the estate industry will be boosted in order to satisfy the workers' accommodation need,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay174,MajorClaim,I prefer to see those serious movies which make people have deep thoughts toward their real lives,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay194,MajorClaim,we must help animals live safely and comfortably in their own environment,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay344,MajorClaim,government cannot take steps to make the salary between modern artists and other job similar,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay025,Claim,how to improve the disadvantages of building a factory would be more important than whether to build it,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay061,Claim,future prospects of computers are very bright,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay007,Claim,newspapers' production will have to face environmentalists on its way to be alive,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay336,Claim,children may see that this behavior is inexcusable,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay175,Premise,journalism is changing,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay036,Premise,The accidents cannot be completely avoided although only those who have gun licenses can purchase guns,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay097,Claim,"they can improve their results, break records and bring victories to their own countries",Pratyaksha,Matched Pratyaksha cues: records,,,
essay203,Claim,depending on luck for everything is not good,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay140,MajorClaim,"every student either male or female should be given fairly equal opportunity to purse their education in all university subjects, provided they should meet the required qualifications rather than putting limitations based on their gender",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay213,MajorClaim,the capablity of working alone is the foundation for the skill to work in team and plays a significant role in a lot of situations,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay090,MajorClaim,personality is the most important,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay251,Claim,"even if you are right, criticism is still helpful",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay029,Claim,it is a normal practice for women to be helpmates in earning money,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay057,Claim,Creativity originates in a free mind,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay204,MajorClaim,traditional learning still has many benefits to the students,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay014,MajorClaim,students learn far more from their teachers than from other source,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay273,Claim,The big cities have lots of advantages and facilities over the small towns,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay128,MajorClaim,"high school should permit students to choose courses they want for several reasons which are freedom of choice, to have progress in students grades and knowledge as well as to help students explore their aptitude",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay135,MajorClaim,international aid should be prioritised,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay322,Premise,Historic building can develop other industries such as restaurants or other food industries and handicrafts shops and so on,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay083,Premise,while generating energy from any source be it hydro power or oil there always is some wastage and so is the case with nuclear power,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay187,MajorClaim,people who learn a foreign language in the country in which it is spoken have a deeper understanding of different language skills than those who learn the same languages in their own countries,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay029,MajorClaim,married women could go to work in order to enjoy the working life outside the home,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
