row_id,text,pramana_label,_source,essay_id,topic_group
blind_b7866296fe,we should abolish the right to keep and bear arms because it creates a dangerous environment for children,Anumana,ibm,,We should abolish the right to keep and bear arms
blind_b3bef81165,"it is a loss of national productivity that young people spend much time on searching for high salary jobs, even can be a sheer time-consuming",Anumana,aaec,essay022,
blind_6ad3adef91,economic sanction can provide the tangible and psychological equity that are preconditions for restorative justice,Anumana,ibm,,We should end the use of economic sanctions
blind_6b5560c203,We should not abandon the use of school uniform as it helps students feel affinity to their school and eachother.,Anumana,ibm,,We should abandon the use of school uniform
blind_90a50d9823,"the three-strike law acts as a very effective deterent to crime, and keeps down the prison population.",Anumana,ibm,,We should abolish the three-strikes laws
blind_28024f2853,"algorithmic trading is not available to everyone, causing an unfair advantage with high economic detriments.",Anumana,ibm,,We should ban algorithmic trading
blind_f2c6586fc8,Many executions are botched and thus produce excessive and unjustified pain and torture,Anumana,ibm,,We should abolish capital punishment
blind_fb187b8892,"children are losing their respect for authority at an alarming rate, this is the only way we can halt that decline",Shabda,ibm,,We should adopt a zero-tolerance policy in schools
blind_265e273945,"too many innocent people are stopped, humiliated and inconvenienced, simply because of their race or ethnicity.",Anumana,ibm,,We should end racial profiling
blind_11c747c064,these subject are necessary for students' future,Anumana,aaec,essay349,
blind_ebd3b6f848,intellectual property rights are useful as it helps protect people who have innovative products.,Anumana,ibm,,We should abolish intellectual property rights
blind_cdd870ca4f,the government should not regulate what parents do that is already a personal decision of each family,Shabda,ibm,,Routine child vaccinations should be mandatory
blind_f4fe424037,"a single international language may, to some extent, erode the cultural identity of a nation",Anumana,aaec,essay091,
blind_c7fd848a14,the three strikes law does a great deal to inhibit the urge to commit criminal behaviors.,Anumana,ibm,,We should abolish the three-strikes laws
blind_6cbefc298d,economic sanctions are a good way for a government to show disapproval without resorting to violence.,Shabda,ibm,,We should end the use of economic sanctions
blind_d296502529,some older workers love their job and would be devastated to be forced to stop working,Anumana,ibm,,We should end mandatory retirement
blind_639bbef350,"As living in a competent world, we are like playing a survival game",Upamana,aaec,essay260,
blind_e7328a2f4d,Journalism is critical to creating an informed populace. Subsidization will allow it to provide even more information.,Shabda,ibm,,We should subsidize journalism
blind_a97bdd3eb0,Every day comes with new challenges for them like walking,Upamana,aaec,essay317,
blind_84fdcec5fc,mandatory retirement leaves openings in the job force for those that are stronger and more capable of doing the jobs.,Anumana,ibm,,We should end mandatory retirement
blind_2d204dbe85,we should subsidize journalism to ensure media has the proper means to get the correct answers to the public.,Shabda,ibm,,We should subsidize journalism
blind_d86d3864d7,it has many good uses & could be a good tax revenue generator for the states & federal government,Shabda,ibm,,We should legalize cannabis
blind_ce0120c58b,I prefer to see those serious movies which make people have deep thoughts toward their real lives,Anumana,aaec,essay174,
blind_c1fc62d20e,the adoption of zero tolerance has effective in keeping bullying in check and all sorts of academic misconduct.,Shabda,ibm,,We should adopt a zero-tolerance policy in schools
blind_034497ca16,our body and moral health depend to physical activities directly,Anumana,aaec,essay278,
blind_6b0886fbcd,allowing people to use a gateway drug like cannabis is steering them towards a life of addiction.,Anumana,ibm,,We should legalize cannabis
blind_38237ca1c1,"no matter how widely they are spoken, every language should be protected from being disappeared",Anumana,aaec,essay375,
blind_5b82dbe7fe,journalism can make enough income to support itself as is seen by the countless successful media outlets,Shabda,ibm,,We should subsidize journalism
blind_ebd8efbf00,private military companies have no oversight and thus can commit atrocities with no repercussions.,Anumana,ibm,,We should ban private military companies
blind_61c7e95ea8,Mandatory retirement forces people who are still excellent at their jobs to quit working long before they are ready.,Anumana,ibm,,We should end mandatory retirement
blind_db33411bd9,women have the knowledge and abilities to be able to contribute in any combat situation.,Anumana,ibm,,We should prohibit women in combat
blind_03632c8d69,we should prohibit flag burning because is esentail and fundamental in countris in war,Anumana,ibm,,We should prohibit flag burning
blind_e70cf600b4,pets should be treated like human beings,Upamana,aaec,essay313,
blind_9ec82ce975,space exploration is very costly and the money could be spent elsewhere for something more beneficial for the society,Anumana,ibm,,We should subsidize space exploration
