essay_id,component_type,text,candidate_pramana,final_pramana,strength_label,reviewed
essay286,MajorClaim,Many circumstances that I experienced change the way I think,Anumana,Anumana,Moderate,yes
essay313,MajorClaim,pets should be treated like human beings,Upamana,Upamana,Weak,yes
essay134,MajorClaim,qualification is still the fundamental determinant of an employee's competency of their jobs,Anumana,Anumana,Moderate,yes
essay392,Premise,"many people driving private cars could cause air pollution, and overusing plastic packages would affect the environment",Anumana,Anumana,Moderate,yes
essay166,MajorClaim,I would choose to live in a big city,Anumana,Anumana,Moderate,yes
essay172,MajorClaim,I would prefer to live in an apartment in the community rather than in the university dormitories,Anumana,Anumana,Moderate,yes
essay276,MajorClaim,dancing is an important part of culture,Anumana,Anumana,Weak,yes
essay318,MajorClaim,no additional payment should be charged on them,Anumana,Anumana,Weak,yes
essay077,Premise,children could acquire the information regarding how to protect wild animals according to guided tour or volunteers,Shabda,Shabda,Strong,yes
essay044,Premise,To generate such a vast energy the fundamental resources are falling short,Anumana,Anumana,Moderate,yes
essay354,Claim,people are experiencing serious medical problems,Anumana,Anumana,Weak,yes
essay232,Premise,"if there is a man that beats his wife and treats her bad, his child probably is going to be rude and treat girls bad",Anumana,Anumana,Moderate,yes
essay251,Claim,"even if you are right, criticism is still helpful",Anumana,Anumana,Moderate,yes
essay320,Premise,"To my rivals' surprise, being the only member of my own ""team"" I gained a victory",Anumana,Anumana,Moderate,yes
essay308,Claim,Moving some places can give to you a lot of experiences,Anumana,Anumana,Moderate,yes
essay158,Premise,the preservation is very expensive because all components of old buildings have historical values,Anumana,Anumana,Strong,yes
essay321,MajorClaim,I would prefer to have my own job,Anumana,Anumana,Weak,yes
essay273,Premise,Every technology has it’s good and bad effects but I prefer having the technologies with their disadvantages to living like 16 century without any of modern facilities of technology,Upamana,Upamana,Moderate,yes
essay303,MajorClaim,it is very important to live life at a slower pace,Anumana,Anumana,Moderate,yes
essay005,MajorClaim,one who studies overseas will gain many skills throughout this experience,Shabda,Anumana,Moderate,yes
essay215,Claim,"we should develop at least one personal hobby, not to show off, but express our emotion when we feel depressed or pressured",Anumana,Anumana,Moderate,yes
essay189,Claim,jobs can divert students from their studies,Shabda,Anumana,Weak,yes
essay311,MajorClaim,students can acquire university knowledge without the prerequisite of passing exam,Anumana,Anumana,Moderate,yes
essay059,Premise,the jury giving the verdict are also humans,Anumana,Anumana,Weak,yes
essay365,MajorClaim,city planner can still opt for non-personal vehicle and the exploitation of the suburb areas,Anumana,Anumana,Moderate,yes
essay100,Premise,This is especially true in sectors like entertainment and sports,Upamana,Upamana,Moderate,yes
essay209,Claim,"it should be up for grabs for a majority of young people, who wish to pursue their passion as well as develop comprehensively",Anumana,Anumana,Moderate,yes
essay209,Premise,university is not just about academic studies but also a place to nurture artistic talent and develop soft skills,Shabda,Anumana,Moderate,yes
essay260,Premise,"As living in a competent world, we are like playing a survival game",Upamana,Upamana,Moderate,yes
essay233,MajorClaim,ease to prepare food has improved people’s lives,Anumana,Anumana,Weak,yes
essay076,MajorClaim,"the government should fund the deprived for their health care and education, who are the group in real need for the authority's help",Anumana,Anumana,Moderate,yes
essay304,Premise,"As we destroy the natural habitat, like forests, jungles and lakes, to make place for our industry and farmland, we rob the ecosystem",Upamana,Upamana,Moderate,yes
essay234,Premise,they will never try to solve problems on their own,Anumana,Anumana,Moderate,yes
essay132,MajorClaim,people are now more conscious to gain more educational qualification and also are more interested to work on various fields simultaneously to earn more and support themselves,Anumana,Anumana,Moderate,yes
essay019,Claim,"Another problem that the young adults may encounter is to find a co-tenant, who they do not like",Upamana,Anumana,Moderate,yes
essay252,Premise,They are essential to our spiritual life,Anumana,Anumana,Weak,yes
essay307,Premise,"there are Reality TV, television programs in which people are put into artificial environments and situations, for example like ""Big Brother""",Upamana,Upamana,Moderate,yes
essay327,Premise,Having knowledge about other countries and their languages lead to extend the child's vision,Anumana,Anumana,Moderate,yes
essay174,MajorClaim,I prefer to see those serious movies which make people have deep thoughts toward their real lives,Anumana,Anumana,Moderate,yes
essay119,MajorClaim,at no time will the unique role of human teachers be replaced,Anumana,Anumana,Moderate,yes
essay389,Claim,"The more people in the country become educated, the better chance it can develop",Anumana,Anumana,Moderate,yes
essay190,MajorClaim,"In modern life, zoos have become even more important in serving as places for people to study and enjoy the nature while a lot of natural destruction is made to build towers and skyscrapers",Anumana,Anumana,Moderate,yes
essay012,Claim,Another technological innovations which help people around the world is related to medical equipments,Anumana,Anumana,Moderate,yes
essay016,MajorClaim,it is a dramatically cruel activity to humanity if the latest foods or medicines are allowed to sold without testing on animals,Anumana,Anumana,Moderate,yes
essay371,Premise,eating their meat mean you eat the flesh of your parent sentient beings,Anumana,Anumana,Moderate,yes
essay222,Premise,"Unlike a professional, parents always support children and give them much social skill so they can communicate well with others and have good habit in life",Upamana,Upamana,Moderate,yes
essay264,Claim,successful people can learn important and very valuable points from trying new things,Anumana,Anumana,Moderate,yes
essay389,Premise,A well-informed man can act sensibly and make sound judgment,Anumana,Anumana,Moderate,yes
essay032,MajorClaim,"aiding poor countries has positive effects, overweighing its side-effects for the several reasons",Anumana,Anumana,Moderate,yes
essay092,Claim,"creative design talents can value their own dressing ideas, developing their own fashion styles as they like",Upamana,Anumana,Moderate,yes
essay083,Claim,Safely getting rid of nuclear waste is a daunting task and there has not been any permanent solution of it,Anumana,Anumana,Moderate,yes
essay268,Premise,"my roommate, Mary, always wakes up 6 in the morning and spends 1 hour doing sport in the park which is near our dormitory",Anumana,Anumana,Moderate,yes
essay085,Claim,these cameras can help to provide some form of protection to the workers against the customers,Anumana,Anumana,Moderate,yes
essay231,MajorClaim,they will grow up in a good neighborhood of a big city and they will be very happy about it,Anumana,Anumana,Moderate,yes
essay295,MajorClaim,I support this point that the learning with a teacher is better,Anumana,Anumana,Moderate,yes
essay164,MajorClaim,providing professional training can be effective in encouraging further good work,Anumana,Anumana,Moderate,yes
essay356,MajorClaim,the prosperity of tourism can provide benefits for people on a global scale,Anumana,Anumana,Moderate,yes
essay115,MajorClaim,the demerits of applying these new developments in the agriculture industry cannot be overlooked,Anumana,Anumana,Moderate,yes
essay204,Premise,The professor has been assigned to teach only,Anumana,Anumana,Weak,yes
essay137,Claim,"an international sports event is a very good thing to gather people, let them dream, being proud of their nationality and forget problems, but just for a while",Anumana,Anumana,Moderate,yes
