text,pramana_label,strength_label
The ward nurse wrote that the patient's oxygen saturation stayed at 88% for twenty minutes after the walk test.,Pratyaksha,strong
I could hear water dripping behind the drywall every time the upstairs shower ran.,Pratyaksha,strong
The lab printout shows ketones in the urine sample collected at admission.,Pratyaksha,strong
"On the factory floor, the torque wrench clicked at 45 Nm exactly as the work instruction specified.",Pratyaksha,strong
The traffic camera still image timestamps the truck crossing the line at 14:02:11.,Pratyaksha,strong
"During the field survey, we counted fourteen nests along the eastern ridge, not the six reported last year.",Pratyaksha,strong
The smartphone accelerometer log shows a spike of 3.2 g right before the screen went black.,Pratyaksha,strong
"In the lecture hall, the projector image was visibly shifted two inches to the left of the screen border.",Pratyaksha,strong
"The tasting panel's sheet describes the wine as metallic with a sharp finish, with no fruit notes circled.",Pratyaksha,strong
The security badge reader beeped red when I scanned the expired contractor pass.,Pratyaksha,strong
"The river gauge downstream read 4.1 meters at dawn, which is above the local flood-watch threshold.",Pratyaksha,strong
I watched the toddler pull at her ear repeatedly during the pediatric visit.,Pratyaksha,strong
The microscope slide shows clustered rod-shaped bacteria along the epithelial edge.,Pratyaksha,strong
The concert recording has clipping on the left channel in every chorus segment.,Pratyaksha,strong
"The soil probe reported pH 5.2 in plot B, while plot A measured 6.8 the same afternoon.",Pratyaksha,strong
The dashboard showed zero completed uploads between midnight and 06:00.,Pratyaksha,moderate
"The patient said the rash itched more at night, and the photo they sent shows raised edges.",Pratyaksha,moderate
The classroom thermometer read 31°C near the windows after the AC was switched off.,Pratyaksha,moderate
I noticed the laptop fan spinning loudly even when no applications were open.,Pratyaksha,moderate
The receipt lists three separate delivery attempts on the same day.,Pratyaksha,moderate
"The neighbor's dog barked nonstop during the storm, which kept waking people on our street.",Pratyaksha,moderate
The spreadsheet column for March has more blank cells than February in the sales export.,Pratyaksha,moderate
The hiking group reported slippery granite on the north face after the morning frost.,Pratyaksha,moderate
The ultrasound technician pointed out a shadow along the lower margin of the image.,Pratyaksha,moderate
The city noise app flagged sustained readings above 70 dB near the construction zone.,Pratyaksha,moderate
"The pharmacy label says take with food, and the pill color matches the photo in the pamphlet.",Pratyaksha,moderate
The referee's bodycam footage shows the player’s foot making contact before the ball arrived.,Pratyaksha,moderate
The greenhouse humidity sensor flatlined at 99% for an hour overnight.,Pratyaksha,moderate
The archive scan shows a crease through the signature line on page three.,Pratyaksha,moderate
The bus driver announced a detour because the main bridge was closed to traffic.,Pratyaksha,moderate
The pulse oximeter on my finger read 91% while I was sitting still after climbing the stairs.,Pratyaksha,moderate
"Something felt off about the room, but I cannot point to a single detail.",Pratyaksha,weak
The app looked weird after the update.,Pratyaksha,weak
I think the food tasted funny.,Pratyaksha,weak
The meeting seemed tense.,Pratyaksha,weak
The street was noisy last night.,Pratyaksha,weak
The report had a lot of numbers I did not check.,Pratyaksha,weak
Her voice sounded tired on the call.,Pratyaksha,weak
The sky looked strange around sunset.,Pratyaksha,weak
"The lab result came back flagged, but nobody explained the units.",Pratyaksha,weak
The device felt hot in my hand.,Pratyaksha,weak
There was a smell in the hallway.,Pratyaksha,weak
"The photo on social media shows a crowd, though the caption is vague.",Pratyaksha,weak
The garden looks worse than last week.,Pratyaksha,weak
The invoice total surprised me.,Pratyaksha,weak
The patient chart mentions dizziness without timing or vitals.,Pratyaksha,weak
The water in the creek seemed low.,Pratyaksha,weak
The laptop screen flickered once.,Pratyaksha,weak
The store shelf was mostly empty.,Pratyaksha,weak
The lecture slides were hard to read from the back row.,Pratyaksha,weak
