essay_id,component_type,text,candidate_pramana,candidate_reason,final_pramana,strength_label,reviewed,review_priority
essay305,MajorClaim,"if the students choose the classes as optional, it would provide more benefits than drawbacks",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay313,MajorClaim,pets should be treated like human beings,Upamana,Matched Upamana cues: like,,,,high
essay359,Claim,most people will be trying to understand each other after they have conflict or debates,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay031,Claim,it is crucial to alter automobiles to the other means of transportation and to legislate to control automobiles,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay022,Claim,"it is a loss of national productivity that young people spend much time on searching for high salary jobs, even can be a sheer time-consuming",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay016,MajorClaim,it is a dramatically cruel activity to humanity if the latest foods or medicines are allowed to sold without testing on animals,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay076,MajorClaim,"the government should fund the deprived for their health care and education, who are the group in real need for the authority's help",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay320,Claim,working alone allows me to avoid spending time and efforts on many things that are an integral part of teamwork,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay077,Premise,children could acquire the information regarding how to protect wild animals according to guided tour or volunteers,Shabda,Matched Shabda cues: according to,,,,high
essay260,Premise,"As living in a competent world, we are like playing a survival game",Upamana,Matched Upamana cues: like,,,,high
essay174,MajorClaim,I prefer to see those serious movies which make people have deep thoughts toward their real lives,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay251,Premise,Those who don't even take a word of criticism will eventually lose chances to get improved,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay137,Claim,"an international sports event is a very good thing to gather people, let them dream, being proud of their nationality and forget problems, but just for a while",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay232,Premise,"if there is a man that beats his wife and treats her bad, his child probably is going to be rude and treat girls bad",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay295,MajorClaim,I support this point that the learning with a teacher is better,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay059,Premise,the jury giving the verdict are also humans,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay181,Premise,"when people have jobs, they will have money to spend on goods and services",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay273,Premise,Every technology has it’s good and bad effects but I prefer having the technologies with their disadvantages to living like 16 century without any of modern facilities of technology,Upamana,Matched Upamana cues: like,,,,high
essay190,MajorClaim,"In modern life, zoos have become even more important in serving as places for people to study and enjoy the nature while a lot of natural destruction is made to build towers and skyscrapers",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay005,MajorClaim,one who studies overseas will gain many skills throughout this experience,Shabda,Matched Shabda cues: studies,,,,high
essay370,MajorClaim,there have to be some alterations before IT has more serious impact on each individual's life,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay189,Claim,jobs can divert students from their studies,Shabda,Matched Shabda cues: studies,,,,high
essay233,MajorClaim,ease to prepare food has improved people’s lives,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay381,Claim,a society that its police force carries guns will be definitely seen as a highly violent one,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay304,Premise,"As we destroy the natural habitat, like forests, jungles and lakes, to make place for our industry and farmland, we rob the ecosystem",Upamana,Matched Upamana cues: like,,,,high
essay246,Premise,"To put it differently, is that after this person has quit his job and became unemployed, he can no longer pay his bills nor buy what he needs for his everyday needs",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay146,MajorClaim,students should find interesting subjects and acquire general knowledge to prepare higher education at tertiary education,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay291,MajorClaim,Studying in college and university is a great opportunity that all students should have,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay209,Premise,university is not just about academic studies but also a place to nurture artistic talent and develop soft skills,Shabda,Matched Shabda cues: studies,,,,high
essay354,Premise,The main reason why people are becoming so addicted to sitting at their homes even for the whole day is an advance technology,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay318,MajorClaim,no additional payment should be charged on them,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay134,MajorClaim,qualification is still the fundamental determinant of an employee's competency of their jobs,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay170,Claim,the development of technology can prompt economic growth and the improvement of living standards,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay285,Premise,"in biology class, learning anatomy by operating fog have many benefits",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay371,Premise,eating their meat mean you eat the flesh of your parent sentient beings,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay019,Claim,"Another problem that the young adults may encounter is to find a co-tenant, who they do not like",Upamana,Matched Upamana cues: like,,,,high
essay399,MajorClaim,this is a worrying tread which has negative impact on children,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay307,Premise,"there are Reality TV, television programs in which people are put into artificial environments and situations, for example like ""Big Brother""",Upamana,Matched Upamana cues: like,,,,high
essay207,Premise,"if a gradate stays in the city after leaving his college and seeks a job with good salary instead of returning his village to do farm work, he could perhaps buy a house or his own car after a short time",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay375,MajorClaim,"no matter how widely they are spoken, every language should be protected from being disappeared",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay201,Claim,conservation is more urgent now than at any time in history,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay365,MajorClaim,city planner can still opt for non-personal vehicle and the exploitation of the suburb areas,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay085,Claim,these cameras can help to provide some form of protection to the workers against the customers,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay172,MajorClaim,I would prefer to live in an apartment in the community rather than in the university dormitories,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay100,Premise,This is especially true in sectors like entertainment and sports,Upamana,Matched Upamana cues: like,,,,high
essay164,MajorClaim,providing professional training can be effective in encouraging further good work,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay222,Premise,"Unlike a professional, parents always support children and give them much social skill so they can communicate well with others and have good habit in life",Upamana,Matched Upamana cues: like,,,,high
essay308,Claim,Moving some places can give to you a lot of experiences,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay043,Claim,it is clear that people can freely express their patriotic feelings during international sports events,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay354,Claim,people are experiencing serious medical problems,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay303,MajorClaim,it is very important to live life at a slower pace,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay092,Claim,"creative design talents can value their own dressing ideas, developing their own fashion styles as they like",Upamana,Matched Upamana cues: like,,,,high
essay374,MajorClaim,the role of zoos towards both human and animals is undeniably indispensable,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay195,MajorClaim,"My country need to focus more on the agriculture by establishing centers for research in this field, which will have some very positive consequences on agriculture people work, on the economy and on the employment",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay209,Claim,"it should be up for grabs for a majority of young people, who wish to pursue their passion as well as develop comprehensively",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay132,MajorClaim,people are now more conscious to gain more educational qualification and also are more interested to work on various fields simultaneously to earn more and support themselves,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay044,Premise,To generate such a vast energy the fundamental resources are falling short,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay321,Claim,"time is the more valuable thing, which I have in my life",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay166,Claim,while small towns have picturesque nature and pure air,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay392,Premise,"many people driving private cars could cause air pollution, and overusing plastic packages would affect the environment",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay029,MajorClaim,married women could go to work in order to enjoy the working life outside the home,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay317,Claim,Our difficult experiences also make us robust and strong unknowingly,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay141,Premise,communicating in person can be more convincing,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay381,Premise,we need to consider that police armed with guns or any other kinds of legal weapons just attempts to protect not only civilians but also himself,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay158,Premise,the preservation is very expensive because all components of old buildings have historical values,Anumana,Matched Anumana cues: because,,,,baseline_sample
essay176,Premise,visiting a museum saves their precious time for making a decision,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay012,Claim,Another technological innovations which help people around the world is related to medical equipments,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay284,Claim,we can’t always let good people be rewarded in movies or TV programs,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay061,MajorClaim,"The whole world is dependent on computers, without which, the world will go back hundreds of years",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay311,MajorClaim,students can acquire university knowledge without the prerequisite of passing exam,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay356,Claim,tourism can have a negative impact on the natural environment,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay389,Premise,A well-informed man can act sensibly and make sound judgment,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay234,Premise,they will never try to solve problems on their own,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay199,Premise,"when I fix my study plan with a specific time and finish it on time, it improves my ability in the future to become more precise and careful",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay163,Claim,There is also another obvious advantage of living in a big city considering the chance of receiving better education of our offspring,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay379,MajorClaim,there are still many other aspects which should be seen as important as income when people choose a job,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay240,Premise,they are aware of how to lead people to reach success despite what kind of difficulties are getting in their way,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay236,Premise,"All of my classmates gave him a rank of AAA, the excellent teacher",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay017,Premise,Emergence of new television channels or shows are not surprising,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay138,Claim,traditional education has some merits like feedbacks and inspirations that cannot be replaced in the near future,Upamana,Matched Upamana cues: like,,,,high
essay295,Premise,"if someone faced so complicated confusion in his study and his many endeavors on making out it were miscarried, this might be ended in disappointment",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay311,Claim,"if the university take the policy that no one can attend the classes without passing exam, students are highly likely to leave uncultivated",Anumana,Matched Anumana cues: likely,,,,baseline_sample
essay252,Premise,They are essential to our spiritual life,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay330,MajorClaim,"there are sometimes unpleasant and boring parts which is not liked by anyone, but most of them are about responsibilities which is the part of individual's live",Upamana,Matched Upamana cues: like,,,,high
essay278,Premise,our body and moral health depend to physical activities directly,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay083,Claim,Safely getting rid of nuclear waste is a daunting task and there has not been any permanent solution of it,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay115,MajorClaim,the demerits of applying these new developments in the agriculture industry cannot be overlooked,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
