essay_id,component_id,component_type,text
essay001,T1,MajorClaim,we should attach more importance to cooperation during primary education
essay001,T2,MajorClaim,a more cooperative attitudes towards life is more profitable in one's success
essay001,T3,Claim,"through cooperation, children can learn about interpersonal skills which are significant in the future life of all students"
essay001,T4,Premise,"What we acquired from team work is not only how to achieve the same goal with others but more importantly, how to get along with others"
essay001,T5,Premise,"During the process of cooperation, children can learn about how to listen to opinions of others, how to communicate with others, how to think comprehensively, and even how to compromise with other team members when conflicts occurred"
essay001,T6,Premise,All of these skills help them to get on well with other people and will benefit them for the whole life
essay001,T7,Claim,competition makes the society more effective
essay001,T8,Premise,the significance of competition is that how to become more excellence to gain the victory
essay001,T9,Premise,"when we consider about the question that how to win the game, we always find that we need the cooperation"
essay001,T10,Premise,"Take Olympic games which is a form of competition for instance, it is hard to imagine how an athlete could win the game without the training of his or her coach, and the help of other professional staffs such as the people who take care of his diet, and those who are in charge of the medical care"
essay001,T11,Claim,"without the cooperation, there would be no victory of competition"
essay002,T1,MajorClaim,they are able to sustain their cultural identities and doing so help they keep their origin values
essay002,T2,MajorClaim,sustaining the traditions will make the immigrated people keep their cultural identity and give them confident among the many culture society
essay002,T3,Premise,maintaining one’s cultural identity is a key important rule to help individuals emerge in the new multicultural environments
essay002,T4,Claim,sustaining the cultural values of immigrants is paramount essential
essay002,T5,Premise,"Take Australia for example, immigrants from varieties of nations have a day called multicultural day where people from each country prepare their food and traditional activities for displaying in the public venues"
essay002,T6,Premise,"Many Australians come this day to enjoy the shows, learn about the cultures and admire the diverse values"
essay002,T7,Premise,"These feedbacks, in turn, help raise one’s pride of their cultures and help people understand each other more"
essay002,T8,Premise,it is crucial to keep one’s identity
essay002,T9,Premise,they need a connection back to their country as well as teach their children their value of origin
essay002,T10,Claim,keeping the cultural traditions in the destination countries is tremendous important
essay002,T11,Premise,children immigrated to a new country will face social troubles in school with new friends
essay002,T12,Premise,"In this new environment, parent should find friends coming from their same country so that they can socialize in a very familiar manner as feeling being home"
essay002,T13,Premise,"Fail to create this familiarity makes them felt isolated, in the extreme can lead to social disorder like autism"
essay002,T14,Claim,there are opposing ideas of neglecting one’s cultural values to adapt in the new cultures
essay003,T1,MajorClaim,it has contributed to the economic development as well as preserved the culture and environment of the tourist destinations
essay003,T2,MajorClaim,international tourism has both triggered economic development and maintained cultural and environment values of the tourist countries
essay003,T3,Claim,tourism has clearly improved lives in the tourist country
essay003,T4,Premise,international tourism promotes many aspects of the destination country’s economy in order to serve various demands of tourists
essay003,T5,Premise,"Take Cambodia for example, a large number of visitors coming to visit the Angkowat ancient temple need services like restaurants, hotels, souvenir shops and other stores"
essay003,T6,Premise,These demands trigger related business in the surrounding settings which in turn create many jobs for local people improve infrastructure and living standard
essay003,T7,Premise,"through tourism industry, many cultural values have been preserved and natural environments have been protected"
essay003,T8,Claim,tourism has survived many non-tangible cultural values and beauty scenes
essay003,T9,Premise,"in Vietnam, many cultural costumes and natural scenes, namely ‘Trong Dong’ drum performance and ‘Ha Long’ bay, are being encouraged to preserve and funded by the tourism ministry"
essay003,T10,Premise,"Without this support and profit from tourism, many traditional cultures would disappear due to its low income works"
essay004,T1,MajorClaim,this industry has affected the cultural attributes and damaged the natural environment of the tourist destinations
essay004,T2,MajorClaim,the tourism has created threatening pressure on both the sociocultural and natural environments
essay004,T3,Claim,the tourism bring large profit for the destination countries
essay004,T4,Claim,international tourism can create negative impacts on the destination countries
essay004,T5,Claim,tourism has threatened the nature environments
essay004,T6,Premise,tourists from different cultures will probably cause changes to the cultural identity of the tourist destinations
essay004,T7,Premise,"Take Thailand for example, in the Vietnam War, many American soldiers came to Thailand for a break and involved in sexual and drug activities, these huge demands caused many local businesses opened and expanded, even illegally involved in under-age prostitutes to maximize their profits"
essay004,T8,Premise,This was due to the lack of adequate controls by authorities and lead to a bad image of Thailand tourism
essay004,T9,Premise,tourism increasingly create harms to the natural habitats of the destination appeals
essay004,T10,Premise,"As the Australia’s Great Barrier Reef has shown, the billion visitors per annum has generated immense destruction to this nature wonder, namely breaking the corals caused by walking or throwing boat’s anchors, dropping fuel and other sorts of pollutions"
essay004,T11,Premise,"many marine lives have been endangered, in the extremes part of the reef become uninhabitable for these marine species"
essay005,T1,MajorClaim,one who studies overseas will gain many skills throughout this experience
essay005,T2,MajorClaim,living and studying overseas gives the individual a new perspective on the subject that is studied or in general life
essay005,T3,Claim,studying at an overseas university gives individuals the opportunity to improve social skills by interacting and communicating with students from different origins and cultures
essay005,T4,Claim,living and studying overseas is an irreplaceable experience when it comes to learn standing on your own feet
essay005,T5,Claim,one who has studied and lived overseas will become more eligible for the job than his/her peers
essay005,T6,Premise,"Compared to the peers studying in the home country, it will be more likely for the one who is living overseas to be successful in adapting himself/herself into new environments and situations in life"
essay005,T7,Premise,"One who is living overseas will of course struggle with loneliness, living away from family and friends"
essay005,T8,Premise,those difficulties will turn into valuable experiences in the following steps of life
essay005,T9,Premise,the one will learn living without depending on anyone else
essay005,T10,Premise,employers are mostly looking for people who have international and language skills
essay005,T11,Premise,Becoming successful in this study will give the student an edge in job market
essay005,T12,Claim,there are many difficulties a student might face when studying and living overseas
essay006,T1,MajorClaim,studying abroad has many advantages
essay006,T2,MajorClaim,"studying abroad does not only have advantages, but also can change us in a very positive way"
essay006,T3,Claim,"Students gain a lot out of the experience personally, academically, and culturally"
essay006,T4,Claim,students who study outside their countries can get a lot of experience living in a foreign country
essay006,T5,Claim,the new academic experience that the students can obtain at the institution where they are pursuing their studies
essay006,T6,Claim,Most important is the cultural aspect of the experience
essay006,T7,Premise,Living in a new country requires a great amount of flexibility and adaptability in one's character
essay006,T8,Premise,students might face many challenges in the host country
essay006,T9,Premise,they should be able to deal with the obstacles that they may encounter
essay006,T10,Premise,Overcoming problems teaches the students how to be more mature and self-independence
essay006,T11,Premise,they will get exposed to a different educational system
essay006,T12,Premise,They will meet new professors and new classmates which makes the academic experience different from that in their home country
essay006,T13,Premise,"While living in a foreign country, students can learn a lot about the culture of that country"
essay006,T14,Premise,they can meet different people of the country
essay006,T15,Premise,"They can learn about their way of thinking, their customs and traditions, and way of life"
essay006,T16,Premise,Learning about others' cultures is so important
essay006,T17,Premise,It contributes in building a new understanding in us of how we see the world
essay006,T18,Premise,"It makes us more open, and willing to accept different ideas and thoughts"
essay006,T19,Premise,it educates us about the world we are living in
essay007,T1,MajorClaim,newspapers have lost their competitive advantage to sustain their prolonged existence
essay007,T2,Claim,the print media has failed to keep its important role in the provision of information
essay007,T3,Premise,"to obtain information, using the internet is quicker and more convenient than reading newspapers"
essay007,T4,Premise,"Contrary to the past when people had to wait long hours to take a daily newspaper, nowadays, they can acquire latest news updated every second through their mobile phones or computers connected to the internet, everywhere and at anytime"
essay007,T5,Premise,"As can be seen, these devices and machines are very common in all parts of the world, making it easier for people to read a number of things that newspapers can not provide in only some pages"
essay007,T6,Claim,"the number of people reading newspapers may continue falling sharply, possibly leading to the close-downs of many in the coming time"
essay007,T7,Premise,"from the economic aspect, buying newspapers appears to be a waste of money when the internet becomes available for every one"
essay007,T8,Premise,the internet service is being provided at a low cost or even free in many countries
essay007,T9,Premise,"The answer, perhaps, is that hardly would rational people do so"
essay007,T10,Claim,newspapers' production will have to face environmentalists on its way to be alive
essay007,T11,Premise,"when taking environment into consideration, people must conceive that the more newspapers are published, the more trees are cut down"
essay007,T12,Premise,This is simply the contributor to the deforestation which is happening all over the world today
essay008,T1,MajorClaim,a government is supposed to offer sufficient financial support for both
essay008,T2,MajorClaim,a government should spare effort on young children education as well as universities
essay008,T3,Claim,both are crucial on the way to a brighter future
essay008,T4,Claim,"if countries, especially the developing countries, are determined to take off, one of the key points governments should set on agenda is to educate more qualified future citizens through elementary education"
essay008,T5,Premise,"a lack of well-established primary education goes hand in hand with a high rate of illiteracy, and this interplay seriously compromises a country's future development"
essay008,T6,Premise,"elementary education, like the base of a architecture, is the fundamental requirement to be a qualified citizen in today's society"
essay008,T7,Premise,government should guarantee that all people have equal and convenient access to it
essay008,T8,Claim,government's big budget on universities may attract more excellent intellectuals and researchers into the country and enjoy a higher reputation worldwide
essay008,T9,Premise,Researches into humanities and art still need large amount of money
essay008,T10,Premise,"for higher education, which represent the cutting edge of a country's academic achievements, act as the vanguard in economic and social advance"
essay008,T11,Premise,The high technology and new ideas applied into practice may not only lead a country to flourish but also elevate its status in the international community
essay008,T12,Premise,Some may argue that universities can support themselve well by donation or invention
essay008,T13,Premise,this argument is invalid
essay009,T1,MajorClaim,"Consideration and communication, in my personal opinion, are the most important quality"
essay009,T2,MajorClaim,the most important quality of roommates is being considered
essay009,T3,MajorClaim,communication is also another essential particularity of a good roommate
essay009,T4,Premise,Consideration is always important in relationship
essay009,T5,Premise,roommate turns down the music or television volume at night time
essay009,T6,Premise,Sometimes we will not know what we have done until we have a taste of our own medicine
essay009,T7,Premise,"At all times, think about the other's feeling before doing any self-centered action would help to improve the roommate relationship tremendously"
essay009,T8,Claim,having a considered roommate is significantly imperative to our school life
essay009,T9,Premise,It will not only prevent conflicts but also to have a friend or even a family member
essay009,T10,Premise,communication is as well making a good roommate
essay009,T11,Premise,"Through communication, bonded are build and we could have better understanding of each others"
essay009,T12,Claim,communication is very important
essay009,T13,Premise,"People have different habit in daily life, such as tidy the blanket in the morning"
essay009,T14,Premise,One might think this is a piece of cake while other would consider it as immense project
essay009,T15,Premise,If one requested to move out just because his roommate do not tidy up the blanket in the morning might be crying over split milk
essay009,T16,Premise,it would clear up the misinterpretation
essay010,T3,MajorClaim,"governments spend more money on buses, trains, and subways investment"
essay010,T4,Claim,they help alleviate traffic congestion and decrease the amount of carbon released into the air
essay010,T5,Premise,Such public vehicles are used to serve a large number of people in society
essay010,T1,Claim,the policy that concentrates money on developing public transportation brings an advantageous impact on earth
essay010,T2,Premise,"if there are more good buses, trains, or subways, people are inclined to use less private vehicles, which decreases the amount of carbon released"
essay010,T6,Premise,carbon emission cut is significantly essential for protecting the atmosphere
essay010,T7,Premise,"the more cars and motorbikes are on roads, the more seriously the ozone layer is damaged"
essay010,T8,Premise,"If governments use more money to improve roads, there is a strong likelihood that more people drive their private cars work"
essay010,T9,Claim,"This is sure to lead to more carbon emitted into the atmosphere, which can cause skin cancer and destroy the natural environment"
essay010,T10,Premise,there are a great number of vehicles flowing on roads
essay010,T11,Premise,It is quiet clear that traffic congestion is a serious problem in many big cities
essay010,T12,Claim,governments have to turn people' attention on public vehicles to reduce cars and motorbikes
essay010,T13,Premise,There is the possibility that improving roads and highways does not seem to reach the major cause of traffic congestion
essay010,T14,Premise,the policy would play a pivotal part in relieving traffic jam
essay010,T15,Claim,high-quality roads and highways make it easier to move around
essay010,T16,MajorClaim,public transportation systems even have more important advantages
essay010,T17,Claim,They not only ease traffic jam but also protect the atmosphere
essay011,T1,MajorClaim,the physical education part should not be outweighed
essay011,T2,Claim,"Physical exercises help to create healthy nation, assist to learning through direct observation and finally aid to financial development of a country"
essay011,T3,MajorClaim,"the more attention is withdrawn to a problem of physical education, the more influence we can get on academic success of students"
essay011,T4,Claim,"if the entire nation, from their school ages begin going for sports and try doing that everyday, eventually it may help to build healthy nation"
essay011,T5,Premise,healthy body is basis for healthy soul
essay011,T6,Premise,There is a direct linkage between people's health and the frequency of doing physical exercises
essay011,T7,Premise,"The more we practice, the better we feel"
essay011,T8,Premise,"there is a fact that one can improve health conditions with everyday physical activity: gradually, step by step we change physical condition to better"
essay011,T9,Claim,"when we practice outdoors and indoors sports, many aspects are getting clearer"
essay011,T10,Premise,"when a person goes jogging everyday, eventually he can understand his own body through direct observation"
essay011,T11,Premise,the school basketball team gains more knowledge on how to succeed in some particular kind of throwing the ball into hoot practicing rather than learning theoretically
essay011,T12,Premise,"almost all natural science discoveries were made by direct observation, which is a part of physical education"
essay011,T13,Claim,financial sustainability of a region mostly depends on how healthy the population is
essay011,T14,Premise,the money invested into physical education program can save allocations into healthcare
essay011,T15,Premise,the nation is comparatively healthy
essay011,T16,Premise,physically healthy people can contribute more both into economical and social development
essay011,T17,Premise,"the better a person feels, the better his brain works"
essay011,T18,Claim,putting physical activities in early steps of human development would finally lead to mentally healthy society
essay011,T19,Premise,it ends up with financially competitive country
