text,y_true,y_pred,correct,ml_label,rule_label,ml_correct,rule_correct,ml_confidence,adjusted_confidence,alpha,routing_reason,n_tokens,cluster
Test augmentation (science): synthetic vignette uid test-pad-1; intended label Shabda at moderate strength for evaluation bookkeeping.,Shabda,Pratyaksha,False,Pratyaksha,,False,,50.44008144972033,30.08801628994407,0.2,Fixed alpha=0.20 (explicit configuration).,16,embedding_failure
Test augmentation (education): synthetic vignette uid test-pad-2; intended label Shabda at moderate strength for evaluation bookkeeping.,Shabda,Pratyaksha,False,Pratyaksha,,False,,46.97948031277065,29.39589606255413,0.2,Fixed alpha=0.20 (explicit configuration).,16,embedding_failure
Test augmentation (social media discourse): synthetic vignette uid test-pad-5; intended label Anumana at moderate strength for evaluation bookkeeping.,Anumana,Pratyaksha,False,Pratyaksha,,False,,47.701577471762,29.540315494352402,0.2,Fixed alpha=0.20 (explicit configuration).,18,embedding_failure
Test augmentation (technology): synthetic vignette uid test-pad-9; intended label Shabda at strong strength for evaluation bookkeeping.,Shabda,Pratyaksha,False,Pratyaksha,,False,,49.6306192768775,29.926123855375504,0.2,Fixed alpha=0.20 (explicit configuration).,16,embedding_failure
Test augmentation (news analysis): synthetic vignette uid test-pad-15; intended label Anumana at weak strength for evaluation bookkeeping.,Anumana,Pratyaksha,False,Pratyaksha,,False,,52.933962003092006,30.5867924006184,0.2,Fixed alpha=0.20 (explicit configuration).,17,embedding_failure
Test augmentation (education): synthetic vignette uid test-pad-18; intended label Anumana at strong strength for evaluation bookkeeping.,Anumana,Pratyaksha,False,Pratyaksha,,False,,44.37908174227705,28.875816348455412,0.2,Fixed alpha=0.20 (explicit configuration).,16,embedding_failure
Test augmentation (philosophy): synthetic vignette uid test-pad-19; intended label Shabda at weak strength for evaluation bookkeeping.,Shabda,Pratyaksha,False,Pratyaksha,,False,,50.346552499164154,30.069310499832834,0.2,Fixed alpha=0.20 (explicit configuration).,16,embedding_failure
Test augmentation (daily life): synthetic vignette uid test-pad-21; intended label Shabda at weak strength for evaluation bookkeeping.,Shabda,Pratyaksha,False,Pratyaksha,,False,,57.84372995457267,31.568745990914536,0.2,Fixed alpha=0.20 (explicit configuration).,17,embedding_failure
Test augmentation (technology): synthetic vignette uid test-pad-22; intended label Shabda at weak strength for evaluation bookkeeping.,Shabda,Pratyaksha,False,Pratyaksha,,False,,47.90006574044142,29.58001314808828,0.2,Fixed alpha=0.20 (explicit configuration).,16,embedding_failure
Test augmentation (philosophy): synthetic vignette uid test-pad-23; intended label Anumana at strong strength for evaluation bookkeeping.,Anumana,Pratyaksha,False,Pratyaksha,,False,,59.713525234991124,31.942705046998228,0.2,Fixed alpha=0.20 (explicit configuration).,16,embedding_failure
