row_id,source,text,annotator_label,secondary_label,confidence_1_5,annotation_notes
blind_b7866296fe,ibm,we should abolish the right to keep and bear arms because it creates a dangerous environment for children,,,,
blind_b3bef81165,aaec,"it is a loss of national productivity that young people spend much time on searching for high salary jobs, even can be a sheer time-consuming",,,,
blind_6ad3adef91,ibm,economic sanction can provide the tangible and psychological equity that are preconditions for restorative justice,,,,
blind_6b5560c203,ibm,We should not abandon the use of school uniform as it helps students feel affinity to their school and eachother.,,,,
blind_90a50d9823,ibm,"the three-strike law acts as a very effective deterent to crime, and keeps down the prison population.",,,,
blind_28024f2853,ibm,"algorithmic trading is not available to everyone, causing an unfair advantage with high economic detriments.",,,,
blind_f2c6586fc8,ibm,Many executions are botched and thus produce excessive and unjustified pain and torture,,,,
blind_fb187b8892,ibm,"children are losing their respect for authority at an alarming rate, this is the only way we can halt that decline",,,,
blind_265e273945,ibm,"too many innocent people are stopped, humiliated and inconvenienced, simply because of their race or ethnicity.",,,,
blind_11c747c064,aaec,these subject are necessary for students' future,,,,
blind_ebd3b6f848,ibm,intellectual property rights are useful as it helps protect people who have innovative products.,,,,
blind_cdd870ca4f,ibm,the government should not regulate what parents do that is already a personal decision of each family,,,,
blind_f4fe424037,aaec,"a single international language may, to some extent, erode the cultural identity of a nation",,,,
blind_c7fd848a14,ibm,the three strikes law does a great deal to inhibit the urge to commit criminal behaviors.,,,,
blind_6cbefc298d,ibm,economic sanctions are a good way for a government to show disapproval without resorting to violence.,,,,
blind_d296502529,ibm,some older workers love their job and would be devastated to be forced to stop working,,,,
blind_639bbef350,aaec,"As living in a competent world, we are like playing a survival game",,,,
blind_e7328a2f4d,ibm,Journalism is critical to creating an informed populace. Subsidization will allow it to provide even more information.,,,,
blind_a97bdd3eb0,aaec,Every day comes with new challenges for them like walking,,,,
blind_84fdcec5fc,ibm,mandatory retirement leaves openings in the job force for those that are stronger and more capable of doing the jobs.,,,,
blind_2d204dbe85,ibm,we should subsidize journalism to ensure media has the proper means to get the correct answers to the public.,,,,
blind_d86d3864d7,ibm,it has many good uses & could be a good tax revenue generator for the states & federal government,,,,
blind_ce0120c58b,aaec,I prefer to see those serious movies which make people have deep thoughts toward their real lives,,,,
blind_c1fc62d20e,ibm,the adoption of zero tolerance has effective in keeping bullying in check and all sorts of academic misconduct.,,,,
blind_034497ca16,aaec,our body and moral health depend to physical activities directly,,,,
blind_6b0886fbcd,ibm,allowing people to use a gateway drug like cannabis is steering them towards a life of addiction.,,,,
blind_38237ca1c1,aaec,"no matter how widely they are spoken, every language should be protected from being disappeared",,,,
blind_5b82dbe7fe,ibm,journalism can make enough income to support itself as is seen by the countless successful media outlets,,,,
blind_ebd8efbf00,ibm,private military companies have no oversight and thus can commit atrocities with no repercussions.,,,,
blind_61c7e95ea8,ibm,Mandatory retirement forces people who are still excellent at their jobs to quit working long before they are ready.,,,,
blind_db33411bd9,ibm,women have the knowledge and abilities to be able to contribute in any combat situation.,,,,
blind_03632c8d69,ibm,we should prohibit flag burning because is esentail and fundamental in countris in war,,,,
blind_e70cf600b4,aaec,pets should be treated like human beings,,,,
blind_9ec82ce975,ibm,space exploration is very costly and the money could be spent elsewhere for something more beneficial for the society,,,,
blind_7ee12d607d,ibm,we should not end racial profiling since it is still useful and of course most blacks commit all the crimes.,,,,
blind_ec3a77a0b6,ibm,more people believe in god than don't so adopting atheism is not in line with what a majority of people believe.,,,,
blind_abaaeb0e6e,ibm,we should not ban human cloning because the potential scientists can find a cure for a disease,,,,
blind_1895467e52,ibm,"these situations need to be handled on a case by case basis because many times, the culprit is not really a threat.",,,,
blind_c99fa25725,ibm,urbanization leads to deforestation and increased levels of pollution as well as concentration of waste and garbage.,,,,
blind_f0ba268c66,aaec,"Driving cars during the rush hours might is bound to polluting cities's environment, but laws protect drivers to do so",,,,
blind_9542ceff25,aaec,"students only need to study academic subjects like mathematics, physics",,,,
blind_d102c20521,ibm,Social media platforms should not be regulated by the government because crimes can't be committed on the internet,,,,
blind_b5b5cd203b,ibm,"space exploration is an expenditure so esoteric, it does not justify its hefty cost to the public.",,,,
blind_0bce896223,ibm,"They should not have any type of control in social networks, everyone is free to express what they want.",,,,
blind_f69d4eca0a,ibm,the importance of the education of our professionals must be taken into consideration in our society,,,,
blind_aa7ce884bd,ibm,women are physically weaker than men so it does not make sense to allow women in combat.,,,,
blind_f4c9c86a98,ibm,"racial profiling distracts police from using actual evidence to catch criminals, as they are focused on skin color instead",,,,
blind_ba422ddfe0,ibm,we should subsidize student loans because it gives students with low income to get the education they deserve,,,,
blind_13ccafb339,ibm,taxes shouldn't have to pay for criminals to live comfortably after they've committed horrific crimes.,,,,
blind_24e2bc96c7,aaec,"Just like a man that needs a healthy body, all the living creatures as a whole needs a strong planet as well",,,,
blind_4f9fd4c04f,ibm,cosmetic surgery should be banned because it is really not a necessary type of surgery.,,,,
blind_a662c48a84,ibm,three strikes laws lack nuance and fail to evaluate circumstances around crimes committed.,,,,
blind_8881c1a1d1,aaec,It was fun and a little bit similar to the cinema,,,,
blind_c5c05a0816,aaec,for a teenager it is important to pay attention on their studies,,,,
blind_f160ef01c5,aaec,there should not be any room for partiality in terms of gender while allocating seats for students in every university courses,,,,
blind_30bc2597c5,aaec,"even when people watch television together, there is no chance for them to have conversation in front of television",,,,
blind_5cdca4fea4,ibm,we should abolish the right to keep and bear arms as it could endanger innocent people and maybe end up in the wrong hands,,,,
blind_0fa3a4a94f,ibm,nuclear weapons help to insure that other countries will not attach because they in turn will most certainly be destroyed.,,,,
blind_f9983d31ff,aaec,tourism can have a negative impact on the natural environment,,,,
blind_75bf5b98c6,aaec,"some male chauvinists think that women are incapable in particular fields, like maths, mechanical engineering, defense etc",,,,
blind_9dc561a072,aaec,Emergence of new television channels or shows are not surprising,,,,
blind_f68cb3443b,ibm,i think the vow of celibacy should abandoned because the group of millenials and beyond is never going to follow it.,,,,
