text,pramana_label,strength_label
marriage in an obsolete institution that legally entangles people and does not let them free without incuring costs.,Anumana,moderate
marriage has important religious groundings and we should not forbid people from following and adhering to their faith.,Anumana,moderate
marriage is old fashioned and we don't need the state or church telling us how love should go,Anumana,moderate
we should not abandon marriage because many religious people still believe in marriage,Anumana,moderate
marriage is no longer necessary to obtain the benefits that have traditionally been associated with it,Anumana,moderate
we should not abandon marriage as there is not much else in our society that can be considered sacred.,Anumana,moderate
"marriage is an out date institution, and promotes failure in the form of divorce, so we should abandon it.",Anumana,moderate
We should not abandon marriage as people still believe in the sanctity of the marriage vow and wish to declare their unity.,Anumana,moderate
"marriage is an outdated institution that serves no real purpose, thus should be abandoned",Anumana,moderate
marriage is a needed contract that happens when two people decide to combine their lives and all parts of it.,Anumana,moderate
marriage just isn't necessary any more as male and female roles have changed tremendously.,Anumana,moderate
marriage provides a legal contract that provides boundaries if things do not work out.,Anumana,moderate
"with divorce rates up so high, we should abandon marriage as an archaic and broken tradition.",Anumana,moderate
committment and stability are important in the lives of children and marriage provides these qualities,Anumana,moderate
We should abandon marriage as with divorce rates so high it is clear that is has become an outmoded concept.,Anumana,moderate
homeschooling can lead to a better learning outcome for many children who struggle in the traditional classroom.,Anumana,moderate
the kids do not get the proper socialization and may have more trouble moving on to college educationally and socially.,Anumana,moderate
homeschooling should not be banned because some kids get picked on and a safe home setting is best place to learn.,Anumana,strong
parents and other home schoolers are not as equipped as regular teachers and schools to educate students.,Anumana,moderate
homeschooled kids get a good education and it is the parents right to school them how they see fit,Anumana,moderate
The option of homeschooling a child allows abusive parents to hide their actions from the world.,Anumana,moderate
home schooling provides a safe place to learn without school shooting and bullying dangers,Anumana,moderate
"parents are not trained, qualified teachers and kids need to learn to socialize with other kids",Anumana,moderate
"if the parents can provide a better education than what their local schools offer, they should be allowed to do so.",Anumana,moderate
homeschooling should be banned because educational institutions still provide a better education.,Anumana,moderate
"homeschooling is a good option for children who are bullied, giving them a safe place to learn",Anumana,moderate
homeschooling can lead to children not forming the social bonds with their peers which they should.,Anumana,moderate
we should continue to support homeschooling as it gives children another form of education when other forms do not work.,Anumana,moderate
homeschooling should be banned because it doesn't provide the best learning environment for children,Anumana,moderate
homeschooling lets kids learn on their own level and helps kids improve their learning skills,Anumana,moderate
"Minors have very few rights as it is, why take away their freedom of expression when there are no harms in allowing it?",Anumana,moderate
