row_id,text,system_prediction,true_label,matched_rules,ml_rule_agreement,confidence_pct,rater_correctness_1_5,rater_usefulness_1_5,rater_comments
1,assisted suicide is a compassionate way to help people choosing to end their life in a nonviolent way.,Anumana,Anumana,,,87.71,,,
2,creativity also gives aesthetic charm,Anumana,Anumana,,,71.05,,,
3,"The social media platform must be regulated by the government, to prevent hateful content, violence among others",Shabda,Shabda,Shabda:government(government),True,99.5,,,
4,"the measure cannot be adopted, otherwise those companies will go into liquidation",Anumana,Anumana,,,86.81,,,
5,people who know a wide range of is better than people who know just one,Anumana,Anumana,Shabda:WHO(who),False,73.44,,,
6,Master augmentation (philosophy): synthetic vignette uid master-pad-4; intended label Upamana at moderate strength for evaluation bookkeeping.,Upamana,Upamana,,,65.53,,,
7,platforms should be controlled by the government as many conspiracy theories can be made,Shabda,Shabda,Shabda:government(government),True,97.56,,,
8,Master augmentation (philosophy): synthetic vignette uid master-pad-5; intended label Pratyaksha at weak strength for evaluation bookkeeping.,Pratyaksha,Pratyaksha,,,66.87,,,
9,Master augmentation (philosophy): synthetic vignette uid master-pad-16; intended label Upamana at strong strength for evaluation bookkeeping.,Upamana,Upamana,,,68.38,,,
10,Intellectual property rights keep people from stealing others' ideas and selling them as their own.,Anumana,Anumana,,,73.53,,,
11,"As living in a competent world, we are like playing a survival game",Upamana,Upamana,,,58.86,,,
12,"intellectual property rights leads to monopolies, which drives up the prices for consumers.",Anumana,Anumana,Anumana:leads to(leads to),True,96.65,,,
13,we should not ban human cloning because the potential scientists can find a cure for a disease,Anumana,Shabda,Anumana:because(because); Shabda:scientists(scientists),False,62.63,,,
14,"In education, a direct check showed the instrument reading drifting outside tolerance during the run.",Pratyaksha,Pratyaksha,,,85.48,,,
15,"suicide has never been legal. it is still killing, even if one is taking ones own life.",Anumana,Anumana,,,84.7,,,
16,flag burning is a legitimate way of showing outrage at a countries actions and iss therefore a form of free speach,Anumana,Anumana,Anumana:therefore(therefore),True,68.84,,,
