source,topic,stance,text,candidate_pramana,candidate_reason,final_pramana,strength_label,reviewed
IBM_ArgKP,We should abandon marriage,support,marriage in an obsolete institution that legally entangles people and does not let them free without incuring costs.,Anumana,No heuristic cue matched; default to Anumana (inferential argumentative span),Anumana,moderate,yes
IBM_ArgKP,We should abandon marriage,oppose,marriage has important religious groundings and we should not forbid people from following and adhering to their faith.,Anumana,No heuristic cue matched; default to Anumana (inferential argumentative span),Anumana,moderate,yes
IBM_ArgKP,We should abandon marriage,support,marriage is old fashioned and we don't need the state or church telling us how love should go,Anumana,No heuristic cue matched; default to Anumana (inferential argumentative span),Anumana,moderate,yes
IBM_ArgKP,We should abandon marriage,oppose,we should not abandon marriage because many religious people still believe in marriage,Anumana,Matched Anumana cues: because,Anumana,moderate,yes
IBM_ArgKP,We should abandon marriage,support,marriage is no longer necessary to obtain the benefits that have traditionally been associated with it,Anumana,No heuristic cue matched; default to Anumana (inferential argumentative span),Anumana,moderate,yes
IBM_ArgKP,We should abandon marriage,oppose,we should not abandon marriage as there is not much else in our society that can be considered sacred.,Anumana,No heuristic cue matched; default to Anumana (inferential argumentative span),Anumana,moderate,yes
IBM_ArgKP,We should abandon marriage,support,"marriage is an out date institution, and promotes failure in the form of divorce, so we should abandon it.",Anumana,No heuristic cue matched; default to Anumana (inferential argumentative span),Anumana,moderate,yes
IBM_ArgKP,We should abandon marriage,oppose,We should not abandon marriage as people still believe in the sanctity of the marriage vow and wish to declare their unity.,Anumana,No heuristic cue matched; default to Anumana (inferential argumentative span),Anumana,moderate,yes
IBM_ArgKP,We should abandon marriage,support,"marriage is an outdated institution that serves no real purpose, thus should be abandoned",Anumana,Matched Anumana cues: thus,Anumana,moderate,yes
IBM_ArgKP,We should abandon marriage,oppose,marriage is a needed contract that happens when two people decide to combine their lives and all parts of it.,Anumana,No heuristic cue matched; default to Anumana (inferential argumentative span),Anumana,moderate,yes
IBM_ArgKP,We should abandon marriage,support,marriage just isn't necessary any more as male and female roles have changed tremendously.,Anumana,No heuristic cue matched; default to Anumana (inferential argumentative span),Anumana,moderate,yes
IBM_ArgKP,We should abandon marriage,oppose,marriage provides a legal contract that provides boundaries if things do not work out.,Anumana,No heuristic cue matched; default to Anumana (inferential argumentative span),Anumana,moderate,yes
IBM_ArgKP,We should abandon marriage,support,"with divorce rates up so high, we should abandon marriage as an archaic and broken tradition.",Anumana,No heuristic cue matched; default to Anumana (inferential argumentative span),Anumana,moderate,yes
IBM_ArgKP,We should abandon marriage,oppose,committment and stability are important in the lives of children and marriage provides these qualities,Anumana,No heuristic cue matched; default to Anumana (inferential argumentative span),Anumana,moderate,yes
IBM_ArgKP,We should abandon marriage,support,We should abandon marriage as with divorce rates so high it is clear that is has become an outmoded concept.,Anumana,No heuristic cue matched; default to Anumana (inferential argumentative span),Anumana,moderate,yes
IBM_ArgKP,Homeschooling should be banned,oppose,homeschooling can lead to a better learning outcome for many children who struggle in the traditional classroom.,Anumana,No heuristic cue matched; default to Anumana (inferential argumentative span),Anumana,moderate,yes
IBM_ArgKP,Homeschooling should be banned,support,the kids do not get the proper socialization and may have more trouble moving on to college educationally and socially.,Anumana,No heuristic cue matched; default to Anumana (inferential argumentative span),Anumana,moderate,yes
IBM_ArgKP,Homeschooling should be banned,oppose,homeschooling should not be banned because some kids get picked on and a safe home setting is best place to learn.,Anumana,Matched Anumana cues: because,Anumana,strong,yes
IBM_ArgKP,Homeschooling should be banned,support,parents and other home schoolers are not as equipped as regular teachers and schools to educate students.,Anumana,No heuristic cue matched; default to Anumana (inferential argumentative span),Anumana,moderate,yes
IBM_ArgKP,Homeschooling should be banned,oppose,homeschooled kids get a good education and it is the parents right to school them how they see fit,Anumana,No heuristic cue matched; default to Anumana (inferential argumentative span),Anumana,moderate,yes
IBM_ArgKP,Homeschooling should be banned,support,The option of homeschooling a child allows abusive parents to hide their actions from the world.,Anumana,No heuristic cue matched; default to Anumana (inferential argumentative span),Anumana,moderate,yes
IBM_ArgKP,Homeschooling should be banned,oppose,home schooling provides a safe place to learn without school shooting and bullying dangers,Anumana,No heuristic cue matched; default to Anumana (inferential argumentative span),Anumana,moderate,yes
IBM_ArgKP,Homeschooling should be banned,support,"parents are not trained, qualified teachers and kids need to learn to socialize with other kids",Anumana,No heuristic cue matched; default to Anumana (inferential argumentative span),Anumana,moderate,yes
IBM_ArgKP,Homeschooling should be banned,oppose,"if the parents can provide a better education than what their local schools offer, they should be allowed to do so.",Anumana,No heuristic cue matched; default to Anumana (inferential argumentative span),Anumana,moderate,yes
IBM_ArgKP,Homeschooling should be banned,support,homeschooling should be banned because educational institutions still provide a better education.,Anumana,Matched Anumana cues: because,Anumana,moderate,yes
