Train Sentence,Test Sentence,Similarity
Master augmentation (philosophy): synthetic vignette uid master-pad-4; intended label Upamana at moderate strength for evaluation bookkeeping.,Test augmentation (philosophy): synthetic vignette uid test-pad-74; intended label Upamana at moderate strength for evaluation bookkeeping.,95.37366548042705
Master augmentation (science): synthetic vignette uid master-pad-6; intended label Upamana at strong strength for evaluation bookkeeping.,Test augmentation (science): synthetic vignette uid test-pad-6; intended label Upamana at strong strength for evaluation bookkeeping.,95.55555555555556
Master augmentation (social media discourse): synthetic vignette uid master-pad-14; intended label Shabda at weak strength for evaluation bookkeeping.,Test augmentation (social media discourse): synthetic vignette uid test-pad-71; intended label Shabda at weak strength for evaluation bookkeeping.,95.27027027027027
Master augmentation (social media discourse): synthetic vignette uid master-pad-33; intended label Shabda at weak strength for evaluation bookkeeping.,Test augmentation (social media discourse): synthetic vignette uid test-pad-37; intended label Shabda at weak strength for evaluation bookkeeping.,95.27027027027027
Master augmentation (philosophy): synthetic vignette uid master-pad-38; intended label Shabda at moderate strength for evaluation bookkeeping.,Test augmentation (philosophy): synthetic vignette uid test-pad-53; intended label Shabda at moderate strength for evaluation bookkeeping.,95.0
Master augmentation (education): synthetic vignette uid master-pad-2; intended label Anumana at strong strength for evaluation bookkeeping.,Test augmentation (education): synthetic vignette uid test-pad-62; intended label Anumana at strong strength for evaluation bookkeeping.,95.27272727272728
Master augmentation (social media discourse): synthetic vignette uid master-pad-22; intended label Anumana at moderate strength for evaluation bookkeeping.,Test augmentation (social media discourse): synthetic vignette uid test-pad-5; intended label Anumana at moderate strength for evaluation bookkeeping.,95.08196721311475
Master augmentation (public debate): synthetic vignette uid master-pad-31; intended label Upamana at moderate strength for evaluation bookkeeping.,Test augmentation (public debate): synthetic vignette uid test-pad-35; intended label Upamana at moderate strength for evaluation bookkeeping.,95.13888888888889
Master augmentation (legal reasoning): synthetic vignette uid master-pad-34; intended label Anumana at strong strength for evaluation bookkeeping.,Test augmentation (legal reasoning): synthetic vignette uid test-pad-54; intended label Anumana at strong strength for evaluation bookkeeping.,95.13888888888889
Master augmentation (news analysis): synthetic vignette uid master-pad-1; intended label Anumana at weak strength for evaluation bookkeeping.,Test augmentation (news analysis): synthetic vignette uid test-pad-15; intended label Anumana at weak strength for evaluation bookkeeping.,95.3405017921147
