text,y_true,y_pred,correct,ml_label,rule_label,ml_correct,rule_correct,ml_confidence,adjusted_confidence,alpha,routing_reason,n_tokens
Bench notes (science): the sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True,Shabda,Pratyaksha,False,True,42.61618106260227,40.178214200961655,0.2,Fixed alpha=0.20 (explicit configuration).,11
Bench notes (technology): the sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True,Shabda,Pratyaksha,False,True,48.21642915870639,40.39535619956523,0.2,Fixed alpha=0.20 (explicit configuration).,11
Bench notes (education): the sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True,Shabda,Pratyaksha,False,True,43.74146712189324,40.13900996435506,0.2,Fixed alpha=0.20 (explicit configuration).,11
Bench notes (medicine): the sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True,Shabda,Pratyaksha,False,True,35.15304270208269,41.37807217284544,0.2,Fixed alpha=0.20 (explicit configuration).,11
Bench notes (politics): the sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True,Shabda,Pratyaksha,False,True,46.24369795264625,40.28081045482062,0.2,Fixed alpha=0.20 (explicit configuration).,11
Bench notes (philosophy): the sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True,Anumana,Pratyaksha,False,True,39.404672568031806,40.32672478078942,0.2,Fixed alpha=0.20 (explicit configuration).,11
Bench notes (legal reasoning): the sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True,Shabda,Pratyaksha,False,True,48.98734081590968,39.922702207554266,0.2,Fixed alpha=0.20 (explicit configuration).,12
Bench notes (public debate): the sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True,Shabda,Pratyaksha,False,True,42.35375346217161,39.939696195753456,0.2,Fixed alpha=0.20 (explicit configuration).,12
Bench notes (social media discourse): the sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True,Shabda,Pratyaksha,False,True,61.61189503679962,39.05487825337921,0.2,Fixed alpha=0.20 (explicit configuration).,13
Bench notes (news analysis): the sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True,Shabda,Pratyaksha,False,True,53.74484266217575,40.39843376262273,0.2,Fixed alpha=0.20 (explicit configuration).,12
Bench notes (daily life): the sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True,Shabda,Pratyaksha,False,True,43.5435003538781,41.98113934867193,0.2,Fixed alpha=0.20 (explicit configuration).,12
Teaching legal reasoning with metaphors is like using training wheels: helpful until intuition stabilizes.,Upamana,Upamana,True,Anumana,Upamana,False,True,41.97503349508124,49.27694450714647,0.2,Fixed alpha=0.20 (explicit configuration).,14
A causal DAG in science is analogous to a map of one-way streets between variables.,Upamana,Upamana,True,Anumana,Upamana,False,True,54.478031378194636,51.192855515046574,0.2,Fixed alpha=0.20 (explicit configuration).,15
A causal DAG in education is analogous to a map of one-way streets between variables.,Upamana,Upamana,True,Anumana,Upamana,False,True,61.133400523242734,50.26722955892656,0.2,Fixed alpha=0.20 (explicit configuration).,15
A causal DAG in medicine is analogous to a map of one-way streets between variables.,Upamana,Upamana,True,Anumana,Upamana,False,True,60.69717889866813,49.74945224376253,0.2,Fixed alpha=0.20 (explicit configuration).,15
A causal DAG in politics is analogous to a map of one-way streets between variables.,Upamana,Upamana,True,Anumana,Upamana,False,True,73.23069194188463,47.90726001943997,0.2,Fixed alpha=0.20 (explicit configuration).,15
A causal DAG in philosophy is analogous to a map of one-way streets between variables.,Upamana,Upamana,True,Anumana,Upamana,False,True,77.43750661332628,47.11264076811412,0.2,Fixed alpha=0.20 (explicit configuration).,15
A causal DAG in legal reasoning is analogous to a map of one-way streets between variables.,Upamana,Upamana,True,Anumana,Upamana,False,True,76.84842524966868,46.599533050340604,0.2,Fixed alpha=0.20 (explicit configuration).,16
