pair_type,split_a,split_b,text_a,text_b,fuzz_ratio,cosine_similarity
near_duplicate,train,held_out_test,Master augmentation (philosophy): synthetic vignette uid master-pad-4; intended label Upamana at moderate strength for evaluation bookkeeping.,Test augmentation (philosophy): synthetic vignette uid test-pad-74; intended label Upamana at moderate strength for evaluation bookkeeping.,95.37,0.8671
near_duplicate,train,held_out_test,Master augmentation (news analysis): synthetic vignette uid master-pad-1; intended label Anumana at weak strength for evaluation bookkeeping.,Test augmentation (news analysis): synthetic vignette uid test-pad-15; intended label Anumana at weak strength for evaluation bookkeeping.,95.34,0.8645
near_duplicate,train,held_out_test,Master augmentation (social media discourse): synthetic vignette uid master-pad-14; intended label Shabda at weak strength for evaluation bookkeeping.,Test augmentation (social media discourse): synthetic vignette uid test-pad-71; intended label Shabda at weak strength for evaluation bookkeeping.,95.27,0.8667
near_duplicate,train,held_out_test,Master augmentation (education): synthetic vignette uid master-pad-2; intended label Anumana at strong strength for evaluation bookkeeping.,Test augmentation (education): synthetic vignette uid test-pad-62; intended label Anumana at strong strength for evaluation bookkeeping.,95.27,0.8509
near_duplicate,train,held_out_test,Master augmentation (public debate): synthetic vignette uid master-pad-31; intended label Upamana at moderate strength for evaluation bookkeeping.,Test augmentation (public debate): synthetic vignette uid test-pad-35; intended label Upamana at moderate strength for evaluation bookkeeping.,95.14,0.8876
near_duplicate,train,held_out_test,Master augmentation (legal reasoning): synthetic vignette uid master-pad-34; intended label Anumana at strong strength for evaluation bookkeeping.,Test augmentation (legal reasoning): synthetic vignette uid test-pad-54; intended label Anumana at strong strength for evaluation bookkeeping.,95.14,0.8664
near_duplicate,train,held_out_test,Master augmentation (social media discourse): synthetic vignette uid master-pad-22; intended label Anumana at moderate strength for evaluation bookkeeping.,Test augmentation (social media discourse): synthetic vignette uid test-pad-5; intended label Anumana at moderate strength for evaluation bookkeeping.,95.08,0.8499
near_duplicate,train,held_out_test,Master augmentation (social media discourse): synthetic vignette uid master-pad-9; intended label Shabda at strong strength for evaluation bookkeeping.,Test augmentation (social media discourse): synthetic vignette uid test-pad-38; intended label Shabda at strong strength for evaluation bookkeeping.,94.98,0.8639
near_duplicate,train,held_out_test,Master augmentation (science): synthetic vignette uid master-pad-37; intended label Upamana at moderate strength for evaluation bookkeeping.,Test augmentation (science): synthetic vignette uid test-pad-76; intended label Upamana at moderate strength for evaluation bookkeeping.,94.93,0.8933
near_duplicate,train,held_out_test,Master augmentation (science): synthetic vignette uid master-pad-43; intended label Anumana at strong strength for evaluation bookkeeping.,Test augmentation (science): synthetic vignette uid test-pad-31; intended label Anumana at strong strength for evaluation bookkeeping.,94.85,0.8713
near_duplicate,train,held_out_test,Master augmentation (public debate): synthetic vignette uid master-pad-28; intended label Pratyaksha at weak strength for evaluation bookkeeping.,Test augmentation (public debate): synthetic vignette uid test-pad-7; intended label Pratyaksha at weak strength for evaluation bookkeeping.,94.74,0.8657
near_duplicate,train,held_out_test,Master augmentation (social media discourse): synthetic vignette uid master-pad-25; intended label Upamana at strong strength for evaluation bookkeeping.,Test augmentation (social media discourse): synthetic vignette uid test-pad-81; intended label Upamana at strong strength for evaluation bookkeeping.,94.7,0.8724
near_duplicate,train,held_out_test,Master augmentation (politics): synthetic vignette uid master-pad-3; intended label Pratyaksha at moderate strength for evaluation bookkeeping.,Test augmentation (politics): synthetic vignette uid test-pad-87; intended label Pratyaksha at moderate strength for evaluation bookkeeping.,94.7,0.8399
near_duplicate,train,held_out_test,Master augmentation (daily life): synthetic vignette uid master-pad-21; intended label Upamana at moderate strength for evaluation bookkeeping.,Test augmentation (daily life): synthetic vignette uid test-pad-4; intended label Upamana at moderate strength for evaluation bookkeeping.,94.66,0.8863
near_duplicate,train,held_out_test,Master augmentation (medicine): synthetic vignette uid master-pad-0; intended label Anumana at weak strength for evaluation bookkeeping.,Test augmentation (medicine): synthetic vignette uid test-pad-89; intended label Anumana at weak strength for evaluation bookkeeping.,94.42,0.8688
near_duplicate,train,held_out_test,Master augmentation (politics): synthetic vignette uid master-pad-23; intended label Pratyaksha at moderate strength for evaluation bookkeeping.,Test augmentation (politics): synthetic vignette uid test-pad-87; intended label Pratyaksha at moderate strength for evaluation bookkeeping.,94.37,0.8574
near_duplicate,train,held_out_test,Master augmentation (philosophy): synthetic vignette uid master-pad-16; intended label Upamana at strong strength for evaluation bookkeeping.,Test augmentation (philosophy): synthetic vignette uid test-pad-52; intended label Upamana at strong strength for evaluation bookkeeping.,94.24,0.8641
near_duplicate,train,held_out_test,Master augmentation (politics): synthetic vignette uid master-pad-10; intended label Upamana at strong strength for evaluation bookkeeping.,Test augmentation (politics): synthetic vignette uid test-pad-47; intended label Upamana at strong strength for evaluation bookkeeping.,94.16,0.8628
near_duplicate,train,held_out_test,Master augmentation (science): synthetic vignette uid master-pad-27; intended label Anumana at moderate strength for evaluation bookkeeping.,Test augmentation (science): synthetic vignette uid test-pad-100; intended label Anumana at moderate strength for evaluation bookkeeping.,93.86,0.8703
near_duplicate,train,held_out_test,Master augmentation (social media discourse): synthetic vignette uid master-pad-12; intended label Anumana at strong strength for evaluation bookkeeping.,Test augmentation (social media discourse): synthetic vignette uid test-pad-81; intended label Upamana at strong strength for evaluation bookkeeping.,93.38,0.7726
near_duplicate,train,held_out_test,Master augmentation (legal reasoning): synthetic vignette uid master-pad-42; intended label Anumana at moderate strength for evaluation bookkeeping.,Test augmentation (legal reasoning): synthetic vignette uid test-pad-82; intended label Upamana at moderate strength for evaluation bookkeeping.,93.15,0.7502
near_duplicate,train,held_out_test,Master augmentation (news analysis): synthetic vignette uid master-pad-18; intended label Upamana at weak strength for evaluation bookkeeping.,Test augmentation (news analysis): synthetic vignette uid test-pad-15; intended label Anumana at weak strength for evaluation bookkeeping.,92.86,0.7553
near_duplicate,train,held_out_test,Master augmentation (daily life): synthetic vignette uid master-pad-13; intended label Anumana at weak strength for evaluation bookkeeping.,Test augmentation (daily life): synthetic vignette uid test-pad-12; intended label Upamana at weak strength for evaluation bookkeeping.,92.7,0.7432
near_duplicate,train,held_out_test,Master augmentation (legal reasoning): synthetic vignette uid master-pad-8; intended label Shabda at moderate strength for evaluation bookkeeping.,Test augmentation (legal reasoning): synthetic vignette uid test-pad-82; intended label Upamana at moderate strength for evaluation bookkeeping.,92.41,0.7397
near_duplicate,train,held_out_test,Master augmentation (public debate): synthetic vignette uid master-pad-41; intended label Anumana at moderate strength for evaluation bookkeeping.,Test augmentation (public debate): synthetic vignette uid test-pad-35; intended label Upamana at moderate strength for evaluation bookkeeping.,92.36,0.7361
