perturbation,original,perturbed,y_true,y_pred,correct
typo,Bench notes (science): the sample fluoresced under UV immediately after staining.,Bennh notes (sciecce): the sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True
typo,Bench notes (technology): the sample fluoresced under UV immediately after staining.,Bench notes (technology): the sample flsoreuced under UV immediately after staining.,Pratyaksha,Pratyaksha,True
typo,Bench notes (education): the sample fluoresced under UV immediately after staining.,Bench notes (educatifn): the sample oluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True
typo,Bench notes (medicine): the sample fluoresced under UV immediately after staining.,Bench notes (midecine): the sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True
typo,Bench notes (politics): the sample fluoresced under UV immediately after staining.,Bency notes (politics): the sample fluoresced under UV immediatelh after staining.,Pratyaksha,Pratyaksha,True
typo,Bench notes (philosophy): the sample fluoresced under UV immediately after staining.,Benhh notes (pcilosophy): the sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True
typo,Bench notes (legal reasoning): the sample fluoresced under UV immediately after staining.,Bench notes (legal reasoning): the masple fluoresced under UV immediately after staining.,Pratyaksha,Shabda,False
typo,Bench notes (public debate): the sample fluoresced under UV immediately after staining.,Bensh notes (public debate): the sample fluoresced under UV immediately after ctaining.,Pratyaksha,Pratyaksha,True
typo,Bench notes (social media discourse): the sample fluoresced under UV immediately after staining.,Bench notes (social media discrurse): the sample fluoresced under UV immediately afteo staining.,Pratyaksha,Pratyaksha,True
typo,Bench notes (news analysis): the sample fluoresced under UV immediately after staining.,Bench notes (news analysis): the sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True
typo,Bench notes (daily life): the sample fluoresced under UV immediately after staining.,Bench notes (daily life): the sample fluoresced under UV immediately after staining.,Pratyaksha,Pratyaksha,True
typo,"Telemetry (science) captured a single large spike, then quiet baseline for ten minutes.","eelemetry (science) captured a single largT spike, then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True
typo,"Telemetry (technology) captured a single large spike, then quiet baseline for ten minutes.","Telemetry (technology) captured a single large spike, then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True
typo,"Telemetry (education) captured a single large spike, then quiet baseline for ten minutes.","Telemetry (education) captured a single latge spike, rhen quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True
typo,"Telemetry (medicine) captured a single large spike, then quiet baseline for ten minutes.","Telemetry (medicine) caitured a spngle large spike, then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True
typo,"Telemetry (politics) captured a single large spike, then quiet baseline for ten minutes.","Telemetry (polihics) captured a single large spike, tten quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True
typo,"Telemetry (philosophy) captured a single large spike, then quiet baseline for ten minutes.","Telemetry (phqlosophy) captured a single large spike, then iuiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True
typo,"Telemetry (legal reasoning) captured a single large spike, then quiet baseline for ten minutes.","Telemetry (legil reasoning) captured a single large spake, then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True
typo,"Telemetry (public debate) captured a single large spike, then quiet baseline for ten minutes.","Telemetry (public debate) captured a sinkle large spige, then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True
typo,"Telemetry (social media discourse) captured a single large spike, then quiet baseline for ten minutes.","Telemqtry (social media discourse) captured a single large spike, then euiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True
typo,"Telemetry (news analysis) captured a single large spike, then quiet baseline for ten minutes.","Telemetry (news annlysis) captured a single large spike, then quiet baseline for tea minutes.",Pratyaksha,Pratyaksha,True
typo,"Telemetry (daily life) captured a single large spike, then quiet baseline for ten minutes.","Telemetry (duily life) captured a single large spike, then qaiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True
typo,"If costs rise while output is fixed in science, margins should compress in equilibrium.","If costs rise while output is fixed in sciencu, margins should compress in equilibriem.",Anumana,Anumana,True
typo,"If costs rise while output is fixed in technology, margins should compress in equilibrium.","If costs rise while output is fixed in technology, margius should compress in equilibrinm.",Anumana,Anumana,True
typo,"If costs rise while output is fixed in education, margins should compress in equilibrium.","If costs rfse while output is iixed in education, margins should compress in equilibrium.",Anumana,Anumana,True
typo,"If costs rise while output is fixed in medicine, margins should compress in equilibrium.","If cosis rise while output is fixed tn medicine, margins should compress in equilibrium.",Anumana,Anumana,True
typo,"If costs rise while output is fixed in politics, margins should compress in equilibrium.","If costs risc while output is fixed in polities, margins should compress in equilibrium.",Anumana,Anumana,True
typo,"If costs rise while output is fixed in philosophy, margins should compress in equilibrium.","If costs rise wiile output is fixed hn philosophy, margins should compress in equilibrium.",Anumana,Anumana,True
typo,"If costs rise while output is fixed in legal reasoning, margins should compress in equilibrium.","If costs rise while output is fixed in legag reasoning, marlins should compress in equilibrium.",Anumana,Anumana,True
